STATION_NAME,DATE,AVEMAX
COTTONWOOD WEIR UT US,19451201,41.2
COTTONWOOD WEIR UT US,19460101,39.4
COTTONWOOD WEIR UT US,19460201,46.9
COTTONWOOD WEIR UT US,19460301,57.9
COTTONWOOD WEIR UT US,19460401,69.4
COTTONWOOD WEIR UT US,19460501,70.2
COTTONWOOD WEIR UT US,19460601,85.5
COTTONWOOD WEIR UT US,19460701,94.5
COTTONWOOD WEIR UT US,19460801,92.1
COTTONWOOD WEIR UT US,19460901,81.9
COTTONWOOD WEIR UT US,19461001,59
COTTONWOOD WEIR UT US,19461101,50.5
COTTONWOOD WEIR UT US,19461201,46.9
COTTONWOOD WEIR UT US,19470101,37
COTTONWOOD WEIR UT US,19470201,49.8
COTTONWOOD WEIR UT US,19470301,56.8
COTTONWOOD WEIR UT US,19470401,61.7
COTTONWOOD WEIR UT US,19470501,77.5
COTTONWOOD WEIR UT US,19470601,77.9
COTTONWOOD WEIR UT US,19470701,93.4
COTTONWOOD WEIR UT US,19470801,89.6
COTTONWOOD WEIR UT US,19470901,83.3
COTTONWOOD WEIR UT US,19471001,69.8
COTTONWOOD WEIR UT US,19471101,43.3
COTTONWOOD WEIR UT US,19471201,40.8
COTTONWOOD WEIR UT US,19480101,42.1
COTTONWOOD WEIR UT US,19480201,45.5
COTTONWOOD WEIR UT US,19480301,47.1
COTTONWOOD WEIR UT US,19480401,63.9
COTTONWOOD WEIR UT US,19480501,74.7
COTTONWOOD WEIR UT US,19480601,82.6
COTTONWOOD WEIR UT US,19480701,93.6
COTTONWOOD WEIR UT US,19480801,92.5
COTTONWOOD WEIR UT US,19480901,84.6
COTTONWOOD WEIR UT US,19481001,68.7
COTTONWOOD WEIR UT US,19481101,46.4
COTTONWOOD WEIR UT US,19481201,39.7
COTTONWOOD WEIR UT US,19490101,27.5
COTTONWOOD WEIR UT US,19490201,41.2
COTTONWOOD WEIR UT US,19490301,54.3
COTTONWOOD WEIR UT US,19490401,69.6
COTTONWOOD WEIR UT US,19490501,72.3
COTTONWOOD WEIR UT US,19490601,80.8
COTTONWOOD WEIR UT US,19490701,93.2
COTTONWOOD WEIR UT US,19490801,93.4
COTTONWOOD WEIR UT US,19490901,86
COTTONWOOD WEIR UT US,19491001,62.4
COTTONWOOD WEIR UT US,19491101,60.4
COTTONWOOD WEIR UT US,19491201,43.2
COTTONWOOD WEIR UT US,19500101,41.4
COTTONWOOD WEIR UT US,19500201,49.6
COTTONWOOD WEIR UT US,19500301,53.4
COTTONWOOD WEIR UT US,19500401,65.5
COTTONWOOD WEIR UT US,19500501,68.7
COTTONWOOD WEIR UT US,19500601,84
